year,metric,value,unit,source
2013,eff_compounds_national,8.89576974581141,effective number of compounds,"USGS PNSP (corrected, no CA)"
2014,eff_compounds_national,8.958105342996946,effective number of compounds,"USGS PNSP (corrected, no CA)"
2015,eff_compounds_national,8.903145771818378,effective number of compounds,"USGS PNSP (corrected, no CA)"
2016,eff_compounds_national,9.408503123450577,effective number of compounds,"USGS PNSP (corrected, no CA)"
2017,eff_compounds_national,10.700656570719778,effective number of compounds,"USGS PNSP (corrected, no CA)"
2018,eff_compounds_national,10.374800082156966,effective number of compounds,"USGS PNSP (corrected, no CA)"
1992,fungicide_share_pct,6.839969554271875,percent of applied kg,"USGS PNSP (corrected, no CA)"
1993,fungicide_share_pct,7.3388576239754855,percent of applied kg,"USGS PNSP (corrected, no CA)"
1994,fungicide_share_pct,7.278671176537764,percent of applied kg,"USGS PNSP (corrected, no CA)"
1995,fungicide_share_pct,6.815644536308632,percent of applied kg,"USGS PNSP (corrected, no CA)"
1996,fungicide_share_pct,6.100732310046378,percent of applied kg,"USGS PNSP (corrected, no CA)"
1997,fungicide_share_pct,6.929501948854365,percent of applied kg,"USGS PNSP (corrected, no CA)"
1998,fungicide_share_pct,6.8769899442094955,percent of applied kg,"USGS PNSP (corrected, no CA)"
1999,fungicide_share_pct,7.276523985433308,percent of applied kg,"USGS PNSP (corrected, no CA)"
2000,fungicide_share_pct,6.6008694964928925,percent of applied kg,"USGS PNSP (corrected, no CA)"
2001,fungicide_share_pct,6.559228969620532,percent of applied kg,"USGS PNSP (corrected, no CA)"
2002,fungicide_share_pct,6.0360947743565525,percent of applied kg,"USGS PNSP (corrected, no CA)"
2003,fungicide_share_pct,6.336214550534254,percent of applied kg,"USGS PNSP (corrected, no CA)"
2004,fungicide_share_pct,6.040322831109492,percent of applied kg,"USGS PNSP (corrected, no CA)"
2005,fungicide_share_pct,6.6345429899986845,percent of applied kg,"USGS PNSP (corrected, no CA)"
2006,fungicide_share_pct,6.46697126497877,percent of applied kg,"USGS PNSP (corrected, no CA)"
2007,fungicide_share_pct,6.775537703302,percent of applied kg,"USGS PNSP (corrected, no CA)"
2008,fungicide_share_pct,6.2453710263943965,percent of applied kg,"USGS PNSP (corrected, no CA)"
2009,fungicide_share_pct,5.894745106056271,percent of applied kg,"USGS PNSP (corrected, no CA)"
2010,fungicide_share_pct,6.081936655655511,percent of applied kg,"USGS PNSP (corrected, no CA)"
2011,fungicide_share_pct,6.516601158539837,percent of applied kg,"USGS PNSP (corrected, no CA)"
2012,fungicide_share_pct,6.238742192748797,percent of applied kg,"USGS PNSP (corrected, no CA)"
2013,fungicide_share_pct,5.930277610113452,percent of applied kg,"USGS PNSP (corrected, no CA)"
2014,fungicide_share_pct,6.428406333409431,percent of applied kg,"USGS PNSP (corrected, no CA)"
2015,fungicide_share_pct,7.003306883706465,percent of applied kg,"USGS PNSP (corrected, no CA)"
2016,fungicide_share_pct,6.356386841791966,percent of applied kg,"USGS PNSP (corrected, no CA)"
2017,fungicide_share_pct,6.995059880795074,percent of applied kg,"USGS PNSP (corrected, no CA)"
2018,fungicide_share_pct,6.438461415600451,percent of applied kg,"USGS PNSP (corrected, no CA)"
1992,glyphosate_share_pct,1.767862858160343,percent of applied kg,"USGS PNSP (corrected, no CA)"
1993,glyphosate_share_pct,2.621835739992459,percent of applied kg,"USGS PNSP (corrected, no CA)"
1994,glyphosate_share_pct,2.4726983921956864,percent of applied kg,"USGS PNSP (corrected, no CA)"
1995,glyphosate_share_pct,3.206591367371317,percent of applied kg,"USGS PNSP (corrected, no CA)"
1996,glyphosate_share_pct,2.855984727830475,percent of applied kg,"USGS PNSP (corrected, no CA)"
1997,glyphosate_share_pct,4.464076640187183,percent of applied kg,"USGS PNSP (corrected, no CA)"
1998,glyphosate_share_pct,6.663480015306143,percent of applied kg,"USGS PNSP (corrected, no CA)"
1999,glyphosate_share_pct,8.422974687185809,percent of applied kg,"USGS PNSP (corrected, no CA)"
2000,glyphosate_share_pct,10.033718416113855,percent of applied kg,"USGS PNSP (corrected, no CA)"
2001,glyphosate_share_pct,11.952480622307512,percent of applied kg,"USGS PNSP (corrected, no CA)"
2002,glyphosate_share_pct,13.607537359947349,percent of applied kg,"USGS PNSP (corrected, no CA)"
2003,glyphosate_share_pct,15.9401053590051,percent of applied kg,"USGS PNSP (corrected, no CA)"
2004,glyphosate_share_pct,16.256932215682358,percent of applied kg,"USGS PNSP (corrected, no CA)"
2005,glyphosate_share_pct,19.24674239180484,percent of applied kg,"USGS PNSP (corrected, no CA)"
2006,glyphosate_share_pct,20.685835993534152,percent of applied kg,"USGS PNSP (corrected, no CA)"
2007,glyphosate_share_pct,21.8486389924878,percent of applied kg,"USGS PNSP (corrected, no CA)"
2008,glyphosate_share_pct,27.108831627968026,percent of applied kg,"USGS PNSP (corrected, no CA)"
2009,glyphosate_share_pct,26.634075801928986,percent of applied kg,"USGS PNSP (corrected, no CA)"
2010,glyphosate_share_pct,28.94082705384282,percent of applied kg,"USGS PNSP (corrected, no CA)"
2011,glyphosate_share_pct,28.906125807794147,percent of applied kg,"USGS PNSP (corrected, no CA)"
2012,glyphosate_share_pct,30.344311546342727,percent of applied kg,"USGS PNSP (corrected, no CA)"
2013,glyphosate_share_pct,29.855494386716035,percent of applied kg,"USGS PNSP (corrected, no CA)"
2014,glyphosate_share_pct,30.08034845800048,percent of applied kg,"USGS PNSP (corrected, no CA)"
2015,glyphosate_share_pct,29.941102572935897,percent of applied kg,"USGS PNSP (corrected, no CA)"
2016,glyphosate_share_pct,28.76046417168906,percent of applied kg,"USGS PNSP (corrected, no CA)"
2017,glyphosate_share_pct,26.551828309154928,percent of applied kg,"USGS PNSP (corrected, no CA)"
2018,glyphosate_share_pct,26.58873487729053,percent of applied kg,"USGS PNSP (corrected, no CA)"
1992,herbicide_share_pct,57.931996596236345,percent of applied kg,"USGS PNSP (corrected, no CA)"
1993,herbicide_share_pct,63.48168143062591,percent of applied kg,"USGS PNSP (corrected, no CA)"
1994,herbicide_share_pct,58.55301232578592,percent of applied kg,"USGS PNSP (corrected, no CA)"
1995,herbicide_share_pct,54.47772498103337,percent of applied kg,"USGS PNSP (corrected, no CA)"
1996,herbicide_share_pct,53.74983272205085,percent of applied kg,"USGS PNSP (corrected, no CA)"
1997,herbicide_share_pct,55.57786167286635,percent of applied kg,"USGS PNSP (corrected, no CA)"
1998,herbicide_share_pct,60.456959922498264,percent of applied kg,"USGS PNSP (corrected, no CA)"
1999,herbicide_share_pct,55.40291605426898,percent of applied kg,"USGS PNSP (corrected, no CA)"
2000,herbicide_share_pct,54.999279559362,percent of applied kg,"USGS PNSP (corrected, no CA)"
2001,herbicide_share_pct,55.21641994325995,percent of applied kg,"USGS PNSP (corrected, no CA)"
2002,herbicide_share_pct,54.82745586674766,percent of applied kg,"USGS PNSP (corrected, no CA)"
2003,herbicide_share_pct,56.83853532095139,percent of applied kg,"USGS PNSP (corrected, no CA)"
2004,herbicide_share_pct,53.06157612748411,percent of applied kg,"USGS PNSP (corrected, no CA)"
2005,herbicide_share_pct,55.75964214425756,percent of applied kg,"USGS PNSP (corrected, no CA)"
2006,herbicide_share_pct,55.91051264353144,percent of applied kg,"USGS PNSP (corrected, no CA)"
2007,herbicide_share_pct,57.937603706126794,percent of applied kg,"USGS PNSP (corrected, no CA)"
2008,herbicide_share_pct,62.22487450838595,percent of applied kg,"USGS PNSP (corrected, no CA)"
2009,herbicide_share_pct,60.48950251795549,percent of applied kg,"USGS PNSP (corrected, no CA)"
2010,herbicide_share_pct,63.88566112397469,percent of applied kg,"USGS PNSP (corrected, no CA)"
2011,herbicide_share_pct,64.58847010508592,percent of applied kg,"USGS PNSP (corrected, no CA)"
2012,herbicide_share_pct,65.18961146832608,percent of applied kg,"USGS PNSP (corrected, no CA)"
2013,herbicide_share_pct,66.25207520506589,percent of applied kg,"USGS PNSP (corrected, no CA)"
2014,herbicide_share_pct,67.9041062686816,percent of applied kg,"USGS PNSP (corrected, no CA)"
2015,herbicide_share_pct,69.65859226022702,percent of applied kg,"USGS PNSP (corrected, no CA)"
2016,herbicide_share_pct,68.7458712324894,percent of applied kg,"USGS PNSP (corrected, no CA)"
2017,herbicide_share_pct,67.84325135788632,percent of applied kg,"USGS PNSP (corrected, no CA)"
2018,herbicide_share_pct,68.58522632776292,percent of applied kg,"USGS PNSP (corrected, no CA)"
1992,insecticide_share_pct,13.6255044049135,percent of applied kg,"USGS PNSP (corrected, no CA)"
1993,insecticide_share_pct,14.527894955713242,percent of applied kg,"USGS PNSP (corrected, no CA)"
1994,insecticide_share_pct,14.521481700622157,percent of applied kg,"USGS PNSP (corrected, no CA)"
1995,insecticide_share_pct,15.91661685939067,percent of applied kg,"USGS PNSP (corrected, no CA)"
1996,insecticide_share_pct,14.618864141543158,percent of applied kg,"USGS PNSP (corrected, no CA)"
1997,insecticide_share_pct,15.361675619264872,percent of applied kg,"USGS PNSP (corrected, no CA)"
1998,insecticide_share_pct,14.873492875695135,percent of applied kg,"USGS PNSP (corrected, no CA)"
1999,insecticide_share_pct,19.26195341576296,percent of applied kg,"USGS PNSP (corrected, no CA)"
2000,insecticide_share_pct,15.803178479865633,percent of applied kg,"USGS PNSP (corrected, no CA)"
2001,insecticide_share_pct,14.866340691606078,percent of applied kg,"USGS PNSP (corrected, no CA)"
2002,insecticide_share_pct,15.96033236690613,percent of applied kg,"USGS PNSP (corrected, no CA)"
2003,insecticide_share_pct,16.133591386836045,percent of applied kg,"USGS PNSP (corrected, no CA)"
2004,insecticide_share_pct,15.782039415408422,percent of applied kg,"USGS PNSP (corrected, no CA)"
2005,insecticide_share_pct,15.920520693252055,percent of applied kg,"USGS PNSP (corrected, no CA)"
2006,insecticide_share_pct,13.387450671463974,percent of applied kg,"USGS PNSP (corrected, no CA)"
2007,insecticide_share_pct,13.01536465979056,percent of applied kg,"USGS PNSP (corrected, no CA)"
2008,insecticide_share_pct,12.651007621234767,percent of applied kg,"USGS PNSP (corrected, no CA)"
2009,insecticide_share_pct,10.768409681075191,percent of applied kg,"USGS PNSP (corrected, no CA)"
2010,insecticide_share_pct,9.757486411128498,percent of applied kg,"USGS PNSP (corrected, no CA)"
2011,insecticide_share_pct,10.09435693608057,percent of applied kg,"USGS PNSP (corrected, no CA)"
2012,insecticide_share_pct,9.64008366045617,percent of applied kg,"USGS PNSP (corrected, no CA)"
2013,insecticide_share_pct,8.997540894114199,percent of applied kg,"USGS PNSP (corrected, no CA)"
2014,insecticide_share_pct,8.20161517992964,percent of applied kg,"USGS PNSP (corrected, no CA)"
2015,insecticide_share_pct,8.125759921100927,percent of applied kg,"USGS PNSP (corrected, no CA)"
2016,insecticide_share_pct,7.155588438077562,percent of applied kg,"USGS PNSP (corrected, no CA)"
2017,insecticide_share_pct,7.529571177885602,percent of applied kg,"USGS PNSP (corrected, no CA)"
2018,insecticide_share_pct,5.874261705391988,percent of applied kg,"USGS PNSP (corrected, no CA)"
1992,n_compounds_county_median,101.0,count,"USGS PNSP (corrected, no CA)"
1993,n_compounds_county_median,100.0,count,"USGS PNSP (corrected, no CA)"
1994,n_compounds_county_median,104.0,count,"USGS PNSP (corrected, no CA)"
1995,n_compounds_county_median,110.0,count,"USGS PNSP (corrected, no CA)"
1996,n_compounds_county_median,114.0,count,"USGS PNSP (corrected, no CA)"
1997,n_compounds_county_median,115.0,count,"USGS PNSP (corrected, no CA)"
1998,n_compounds_county_median,110.0,count,"USGS PNSP (corrected, no CA)"
1999,n_compounds_county_median,113.0,count,"USGS PNSP (corrected, no CA)"
2000,n_compounds_county_median,114.0,count,"USGS PNSP (corrected, no CA)"
2001,n_compounds_county_median,114.0,count,"USGS PNSP (corrected, no CA)"
2002,n_compounds_county_median,115.0,count,"USGS PNSP (corrected, no CA)"
2003,n_compounds_county_median,114.0,count,"USGS PNSP (corrected, no CA)"
2004,n_compounds_county_median,119.0,count,"USGS PNSP (corrected, no CA)"
2005,n_compounds_county_median,115.0,count,"USGS PNSP (corrected, no CA)"
2006,n_compounds_county_median,117.0,count,"USGS PNSP (corrected, no CA)"
2007,n_compounds_county_median,113.0,count,"USGS PNSP (corrected, no CA)"
2008,n_compounds_county_median,119.0,count,"USGS PNSP (corrected, no CA)"
2009,n_compounds_county_median,125.0,count,"USGS PNSP (corrected, no CA)"
2010,n_compounds_county_median,127.0,count,"USGS PNSP (corrected, no CA)"
2011,n_compounds_county_median,126.0,count,"USGS PNSP (corrected, no CA)"
2012,n_compounds_county_median,125.0,count,"USGS PNSP (corrected, no CA)"
2013,n_compounds_county_median,126.0,count,"USGS PNSP (corrected, no CA)"
2014,n_compounds_county_median,125.0,count,"USGS PNSP (corrected, no CA)"
2015,n_compounds_county_median,118.0,count,"USGS PNSP (corrected, no CA)"
2016,n_compounds_county_median,113.0,count,"USGS PNSP (corrected, no CA)"
2017,n_compounds_county_median,114.0,count,"USGS PNSP (corrected, no CA)"
2018,n_compounds_county_median,89.0,count,"USGS PNSP (corrected, no CA)"
2012,notill_pct_cropland,24.757215608593338,percent of cropland acres,USDA Census of Agriculture
2017,notill_pct_cropland,26.34798912727468,percent of cropland acres,USDA Census of Agriculture
2022,notill_pct_cropland,27.515827839657952,percent of cropland acres,USDA Census of Agriculture
1992,pct_counties_glyphosate_over_25pct,1.0659560293137909,percent of counties,"USGS PNSP (corrected, no CA)"
1993,pct_counties_glyphosate_over_25pct,1.0992671552298467,percent of counties,"USGS PNSP (corrected, no CA)"
1994,pct_counties_glyphosate_over_25pct,2.097902097902098,percent of counties,"USGS PNSP (corrected, no CA)"
1995,pct_counties_glyphosate_over_25pct,1.1988011988011988,percent of counties,"USGS PNSP (corrected, no CA)"
1996,pct_counties_glyphosate_over_25pct,2.0313020313020314,percent of counties,"USGS PNSP (corrected, no CA)"
1997,pct_counties_glyphosate_over_25pct,2.6964047936085223,percent of counties,"USGS PNSP (corrected, no CA)"
1998,pct_counties_glyphosate_over_25pct,1.668335001668335,percent of counties,"USGS PNSP (corrected, no CA)"
1999,pct_counties_glyphosate_over_25pct,3.268845897264843,percent of counties,"USGS PNSP (corrected, no CA)"
2000,pct_counties_glyphosate_over_25pct,6.940273606940274,percent of counties,"USGS PNSP (corrected, no CA)"
2001,pct_counties_glyphosate_over_25pct,11.177844511177845,percent of counties,"USGS PNSP (corrected, no CA)"
2002,pct_counties_glyphosate_over_25pct,18.157543391188252,percent of counties,"USGS PNSP (corrected, no CA)"
2003,pct_counties_glyphosate_over_25pct,26.101468624833114,percent of counties,"USGS PNSP (corrected, no CA)"
2004,pct_counties_glyphosate_over_25pct,28.018679119412944,percent of counties,"USGS PNSP (corrected, no CA)"
2005,pct_counties_glyphosate_over_25pct,39.7731064397731,percent of counties,"USGS PNSP (corrected, no CA)"
2006,pct_counties_glyphosate_over_25pct,42.17550884217551,percent of counties,"USGS PNSP (corrected, no CA)"
2007,pct_counties_glyphosate_over_25pct,44.92995330220147,percent of counties,"USGS PNSP (corrected, no CA)"
2008,pct_counties_glyphosate_over_25pct,52.046589018302825,percent of counties,"USGS PNSP (corrected, no CA)"
2009,pct_counties_glyphosate_over_25pct,50.399201596806385,percent of counties,"USGS PNSP (corrected, no CA)"
2010,pct_counties_glyphosate_over_25pct,54.475873544093176,percent of counties,"USGS PNSP (corrected, no CA)"
2011,pct_counties_glyphosate_over_25pct,52.72787757817699,percent of counties,"USGS PNSP (corrected, no CA)"
2012,pct_counties_glyphosate_over_25pct,55.08982035928144,percent of counties,"USGS PNSP (corrected, no CA)"
2013,pct_counties_glyphosate_over_25pct,55.574043261231274,percent of counties,"USGS PNSP (corrected, no CA)"
2014,pct_counties_glyphosate_over_25pct,57.37104825291182,percent of counties,"USGS PNSP (corrected, no CA)"
2015,pct_counties_glyphosate_over_25pct,54.94176372712146,percent of counties,"USGS PNSP (corrected, no CA)"
2016,pct_counties_glyphosate_over_25pct,56.60565723793677,percent of counties,"USGS PNSP (corrected, no CA)"
2017,pct_counties_glyphosate_over_25pct,52.14642262895175,percent of counties,"USGS PNSP (corrected, no CA)"
2018,pct_counties_glyphosate_over_25pct,58.50249584026622,percent of counties,"USGS PNSP (corrected, no CA)"
1992,top1_compound_share_pct,9.803393904790271,percent of applied kg,"USGS PNSP (corrected, no CA)"
1993,top1_compound_share_pct,9.737210097117023,percent of applied kg,"USGS PNSP (corrected, no CA)"
1994,top1_compound_share_pct,8.75477136044143,percent of applied kg,"USGS PNSP (corrected, no CA)"
1995,top1_compound_share_pct,9.489111328437808,percent of applied kg,"USGS PNSP (corrected, no CA)"
1996,top1_compound_share_pct,8.1499022113635,percent of applied kg,"USGS PNSP (corrected, no CA)"
1997,top1_compound_share_pct,8.553174723924679,percent of applied kg,"USGS PNSP (corrected, no CA)"
1998,top1_compound_share_pct,9.633601669665849,percent of applied kg,"USGS PNSP (corrected, no CA)"
1999,top1_compound_share_pct,10.93628971191886,percent of applied kg,"USGS PNSP (corrected, no CA)"
2000,top1_compound_share_pct,10.033718416113855,percent of applied kg,"USGS PNSP (corrected, no CA)"
2001,top1_compound_share_pct,11.952480622307512,percent of applied kg,"USGS PNSP (corrected, no CA)"
2002,top1_compound_share_pct,13.607537359947349,percent of applied kg,"USGS PNSP (corrected, no CA)"
2003,top1_compound_share_pct,15.9401053590051,percent of applied kg,"USGS PNSP (corrected, no CA)"
2004,top1_compound_share_pct,16.256932215682358,percent of applied kg,"USGS PNSP (corrected, no CA)"
2005,top1_compound_share_pct,19.24674239180484,percent of applied kg,"USGS PNSP (corrected, no CA)"
2006,top1_compound_share_pct,20.685835993534152,percent of applied kg,"USGS PNSP (corrected, no CA)"
2007,top1_compound_share_pct,21.8486389924878,percent of applied kg,"USGS PNSP (corrected, no CA)"
2008,top1_compound_share_pct,27.108831627968026,percent of applied kg,"USGS PNSP (corrected, no CA)"
2009,top1_compound_share_pct,26.634075801928986,percent of applied kg,"USGS PNSP (corrected, no CA)"
2010,top1_compound_share_pct,28.94082705384282,percent of applied kg,"USGS PNSP (corrected, no CA)"
2011,top1_compound_share_pct,28.906125807794147,percent of applied kg,"USGS PNSP (corrected, no CA)"
2012,top1_compound_share_pct,30.344311546342727,percent of applied kg,"USGS PNSP (corrected, no CA)"
2013,top1_compound_share_pct,29.855494386716035,percent of applied kg,"USGS PNSP (corrected, no CA)"
2014,top1_compound_share_pct,30.08034845800048,percent of applied kg,"USGS PNSP (corrected, no CA)"
2015,top1_compound_share_pct,29.941102572935897,percent of applied kg,"USGS PNSP (corrected, no CA)"
2016,top1_compound_share_pct,28.76046417168906,percent of applied kg,"USGS PNSP (corrected, no CA)"
2017,top1_compound_share_pct,26.551828309154928,percent of applied kg,"USGS PNSP (corrected, no CA)"
2018,top1_compound_share_pct,26.58873487729053,percent of applied kg,"USGS PNSP (corrected, no CA)"
1992,total_applied_Mkg,390.77166919999996,million kg,"USGS PNSP (corrected, no CA)"
1993,total_applied_Mkg,339.1113396,million kg,"USGS PNSP (corrected, no CA)"
1994,total_applied_Mkg,418.4979629,million kg,"USGS PNSP (corrected, no CA)"
1995,total_applied_Mkg,441.06541119999997,million kg,"USGS PNSP (corrected, no CA)"
1996,total_applied_Mkg,478.059125,million kg,"USGS PNSP (corrected, no CA)"
1997,total_applied_Mkg,421.3714552,million kg,"USGS PNSP (corrected, no CA)"
1998,total_applied_Mkg,379.2200222999999,million kg,"USGS PNSP (corrected, no CA)"
1999,total_applied_Mkg,382.0371424,million kg,"USGS PNSP (corrected, no CA)"
2000,total_applied_Mkg,379.43306579999995,million kg,"USGS PNSP (corrected, no CA)"
2001,total_applied_Mkg,379.96330079999996,million kg,"USGS PNSP (corrected, no CA)"
2002,total_applied_Mkg,365.27131240000006,million kg,"USGS PNSP (corrected, no CA)"
2003,total_applied_Mkg,363.77613820000005,million kg,"USGS PNSP (corrected, no CA)"
2004,total_applied_Mkg,387.63809410000005,million kg,"USGS PNSP (corrected, no CA)"
2005,total_applied_Mkg,364.46266060000005,million kg,"USGS PNSP (corrected, no CA)"
2006,total_applied_Mkg,347.00697870000005,million kg,"USGS PNSP (corrected, no CA)"
2007,total_applied_Mkg,369.2883915,million kg,"USGS PNSP (corrected, no CA)"
2008,total_applied_Mkg,353.51573360000003,million kg,"USGS PNSP (corrected, no CA)"
2009,total_applied_Mkg,370.0307258,million kg,"USGS PNSP (corrected, no CA)"
2010,total_applied_Mkg,371.69631780000003,million kg,"USGS PNSP (corrected, no CA)"
2011,total_applied_Mkg,384.9256505,million kg,"USGS PNSP (corrected, no CA)"
2012,total_applied_Mkg,416.4861345,million kg,"USGS PNSP (corrected, no CA)"
2013,total_applied_Mkg,419.0805715000001,million kg,"USGS PNSP (corrected, no CA)"
2014,total_applied_Mkg,421.14931440000004,million kg,"USGS PNSP (corrected, no CA)"
2015,total_applied_Mkg,420.89986330000005,million kg,"USGS PNSP (corrected, no CA)"
2016,total_applied_Mkg,444.74001509999994,million kg,"USGS PNSP (corrected, no CA)"
2017,total_applied_Mkg,466.08840890000005,million kg,"USGS PNSP (corrected, no CA)"
2018,total_applied_Mkg,448.3863168,million kg,"USGS PNSP (corrected, no CA)"
