year,producer_group,cut,category,measure,value
2022,Hispanic (any race),economic_class,"10,000 TO 24,999 $",operations,10213
2022,Hispanic (any race),economic_class,"2,500 TO 4,999 $",operations,9499
2022,Hispanic (any race),economic_class,"25,000 TO 49,999 $",operations,5784
2022,Hispanic (any race),economic_class,"5,000 TO 9,999 $",operations,9736
2022,Hispanic (any race),economic_class,"50,000 OR MORE $",operations,16955
2022,Hispanic (any race),economic_class,"LESS THAN 1,000 $",operations,20372
2022,Multi-race,economic_class,"1,000 TO 2,499 $",operations,3140
2022,Multi-race,economic_class,"10,000 TO 24,999 $",operations,3635
2022,Multi-race,economic_class,"2,500 TO 4,999 $",operations,2669
2022,Multi-race,economic_class,"25,000 TO 49,999 $",operations,2151
2022,Multi-race,economic_class,"5,000 TO 9,999 $",operations,3068
2022,Multi-race,economic_class,"50,000 OR MORE $",operations,5075
2022,Multi-race,economic_class,"LESS THAN 1,000 $",operations,5252
2022,Native Hawaiian or Other Pacific Islander,economic_class,"1,000 TO 2,499 $",operations,355
2022,Native Hawaiian or Other Pacific Islander,economic_class,"10,000 TO 24,999 $",operations,396
2022,Native Hawaiian or Other Pacific Islander,economic_class,"2,500 TO 4,999 $",operations,258
2022,Native Hawaiian or Other Pacific Islander,economic_class,"25,000 TO 49,999 $",operations,192
2022,Native Hawaiian or Other Pacific Islander,economic_class,"5,000 TO 9,999 $",operations,307
2022,Native Hawaiian or Other Pacific Islander,economic_class,"50,000 OR MORE $",operations,644
2022,Native Hawaiian or Other Pacific Islander,economic_class,"LESS THAN 1,000 $",operations,627
2022,White,economic_class,"1,000 TO 2,499 $",operations,202341
2022,White,economic_class,"10,000 TO 24,999 $",operations,233591
2022,White,economic_class,"2,500 TO 4,999 $",operations,185427
2022,White,economic_class,"25,000 TO 49,999 $",operations,148215
2022,White,economic_class,"5,000 TO 9,999 $",operations,206863
2022,White,economic_class,"50,000 OR MORE $",operations,499970
2022,White,economic_class,"LESS THAN 1,000 $",operations,353042
2022,__ALL__,economic_class,"1,000 TO 2,499 $",acres_operated,13249494
2022,__ALL__,economic_class,"1,000 TO 2,499 $",operations,210874
2022,__ALL__,economic_class,"1,000,000 OR MORE $",acres_operated,287398715
2022,__ALL__,economic_class,"1,000,000 OR MORE $",operations,107952
2022,__ALL__,economic_class,"10,000 TO 24,999 $",acres_operated,46078880
2022,__ALL__,economic_class,"10,000 TO 24,999 $",operations,242254
2022,__ALL__,economic_class,"100,000 TO 249,999 $",acres_operated,97937793
2022,__ALL__,economic_class,"100,000 TO 249,999 $",operations,126351
2022,__ALL__,economic_class,"2,500 TO 4,999 $",acres_operated,15289412
2022,__ALL__,economic_class,"2,500 TO 4,999 $",operations,192850
2022,__ALL__,economic_class,"25,000 TO 49,999 $",acres_operated,42314477
2022,__ALL__,economic_class,"25,000 TO 49,999 $",operations,152852
2022,__ALL__,economic_class,"250,000 TO 499,999 $",acres_operated,112851229
2022,__ALL__,economic_class,"250,000 TO 499,999 $",operations,86739
2022,__ALL__,economic_class,"5,000 TO 9,999 $",acres_operated,24126855
2022,__ALL__,economic_class,"5,000 TO 9,999 $",operations,214568
2022,__ALL__,economic_class,"50,000 TO 99,999 $",acres_operated,54339433
2022,__ALL__,economic_class,"50,000 TO 99,999 $",operations,120990
2022,__ALL__,economic_class,"500,000 TO 999,999 $",acres_operated,124294712
2022,__ALL__,economic_class,"500,000 TO 999,999 $",operations,69645
2022,__ALL__,economic_class,"LESS THAN 1,000 $",acres_operated,62219848
2022,__ALL__,economic_class,"LESS THAN 1,000 $",operations,375412
2022,American Indian or Alaska Native,tenure,FULL OWNER,acres_operated,41188143
2022,American Indian or Alaska Native,tenure,FULL OWNER,operations,19435
2022,American Indian or Alaska Native,tenure,PART OWNER,acres_operated,9330006
2022,American Indian or Alaska Native,tenure,PART OWNER,operations,7416
2022,American Indian or Alaska Native,tenure,TENANT,acres_operated,5263328
2022,American Indian or Alaska Native,tenure,TENANT,operations,13770
2022,Asian,tenure,FULL OWNER,acres_operated,1313677
2022,Asian,tenure,FULL OWNER,operations,12936
2022,Asian,tenure,PART OWNER,acres_operated,1078360
2022,Asian,tenure,PART OWNER,operations,1408
2022,Asian,tenure,TENANT,acres_operated,216364
2022,Asian,tenure,TENANT,operations,1728
2022,Black or African American,tenure,FULL OWNER,acres_operated,1840788
2022,Black or African American,tenure,FULL OWNER,operations,20039
2022,Black or African American,tenure,PART OWNER,acres_operated,2088261
2022,Black or African American,tenure,PART OWNER,operations,6369
2022,Black or African American,tenure,TENANT,acres_operated,389692
2022,Black or African American,tenure,TENANT,operations,2315
2022,Hispanic (any race),tenure,FULL OWNER,acres_operated,16481392
2022,Hispanic (any race),tenure,FULL OWNER,operations,65496
2022,Hispanic (any race),tenure,PART OWNER,acres_operated,16489948
2022,Hispanic (any race),tenure,PART OWNER,operations,12750
2022,Hispanic (any race),tenure,TENANT,acres_operated,3894923
2022,Hispanic (any race),tenure,TENANT,operations,5259
2022,Multi-race,tenure,FULL OWNER,acres_operated,3581993
2022,Multi-race,tenure,FULL OWNER,operations,18218
2022,Multi-race,tenure,PART OWNER,acres_operated,5037184
2022,Multi-race,tenure,PART OWNER,operations,5178
2022,Multi-race,tenure,TENANT,acres_operated,1042253
2022,Multi-race,tenure,TENANT,operations,1594
2022,Native Hawaiian or Other Pacific Islander,tenure,FULL OWNER,acres_operated,323659
2022,Native Hawaiian or Other Pacific Islander,tenure,FULL OWNER,operations,2097
2022,Native Hawaiian or Other Pacific Islander,tenure,PART OWNER,acres_operated,413731
2022,Native Hawaiian or Other Pacific Islander,tenure,PART OWNER,operations,382
2022,Native Hawaiian or Other Pacific Islander,tenure,TENANT,acres_operated,61761
2022,Native Hawaiian or Other Pacific Islander,tenure,TENANT,operations,300
2022,White,tenure,FULL OWNER,acres_operated,269626575
2022,White,tenure,FULL OWNER,operations,1315779
2022,White,tenure,PART OWNER,acres_operated,481019035
2022,White,tenure,PART OWNER,operations,411216
2022,White,tenure,TENANT,acres_operated,73297293
2022,White,tenure,TENANT,operations,102454
2022,__ALL__,tenure,FULL OWNER,acres_operated,311935837
2022,__ALL__,tenure,FULL OWNER,operations,1356796
2022,__ALL__,tenure,PART OWNER,acres_operated,489711406
2022,__ALL__,tenure,PART OWNER,operations,423889
2022,__ALL__,tenure,TENANT,acres_operated,78453605
2022,__ALL__,tenure,TENANT,operations,119802
