COMMOD,Diazinon,Malathion,Piperonyl butoxide,Carbaryl,Heptachlor epoxide,Dicloran,Trifluralin,Thiabendazole,Methomyl,Chlorpyrifos,Dimethoate,Carbofuran,Pendimethalin,Dichlorvos (DDVP),Pronamide (Propyzamide),Cypermethrin,Metalaxyl/Mefenoxam,Deltamethrin  (includes parent Tralomethrin),Myclobutanil,Cyfluthrin,Fenpropathrin,Bifenthrin,Imidacloprid,Fenbuconazole,Tebuconazole,Triflumizole,"Cyhalothrin, Total (Cyhalothrin-L + R157836 epimer)",Clothianidin,Methoxyfenozide,Dinotefuran,Flonicamid,Mandipropamid,Spirotetramat,Fluopicolide,Fluopyram,Hexythiazox,Chlorfenapyr,Pyrimethanil,Fludioxonil,Pyriproxyfen,Thiamethoxam,Azoxystrobin,Buprofezin,Quinoxyfen,Difenoconazole,Pyraclostrobin,Fenamidone,Boscalid,Dimethomorph,Trifloxystrobin,Acetamiprid
"Sweet Corn, Frozen",0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0248,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Cherry Tomatoes,0.0041,0.0081,0.0183,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0061,0.0,0.0,0.0772,0.0,0.002,0.0894,0.0407,0.0,0.0244,0.002,0.0081,0.0,0.0102,0.065,0.2134,0.0386,0.0183,0.0081,0.1362,0.0,0.0407,0.0569,0.0163,0.1667,0.0305,0.126,0.185,0.0102,0.376,0.2012,0.0041,0.1992,0.0102,0.0691,0.0447
Cucumbers,0.0061,0.0,0.0,0.0015,0.0015,0.0,0.0,0.0,0.0303,0.0106,0.0031,0.0,0.0,0.0015,0.0,0.0076,0.239,0.0,0.0696,0.0,0.0061,0.1316,0.1089,0.0,0.0257,0.0182,0.0287,0.0635,0.0333,0.115,0.1316,0.0333,0.0,0.1861,0.4508,0.0,0.0378,0.0227,0.0061,0.0,0.1921,0.1952,0.0045,0.0,0.0212,0.0817,0.003,0.1679,0.1059,0.0106,0.1649
Eggplant,0.0,0.0241,0.0023,0.0437,0.0,0.0,0.0,0.0008,0.0173,0.0015,0.0015,0.0,0.0,0.0,0.0,0.0045,0.0053,0.0,0.0045,0.0016,0.0038,0.0708,0.2517,0.0,0.0098,0.0,0.0045,0.0874,0.0196,0.1138,0.0339,0.0015,0.0008,0.0407,0.2125,0.0,0.0188,0.003,0.0,0.0106,0.2615,0.0603,0.003,0.0015,0.0708,0.0332,0.0,0.0158,0.0083,0.0023,0.1402
Green Beans,0.0,0.0,0.0038,0.0061,0.0,0.0715,0.0015,0.0015,0.0464,0.0129,0.0373,0.0,0.0183,0.0,0.0008,0.1119,0.083,0.0099,0.0654,0.0137,0.0046,0.2549,0.0282,0.0008,0.0464,0.0,0.1568,0.019,0.0388,0.0426,0.0084,0.0008,0.0,0.0038,0.0327,0.0,0.0008,0.003,0.0,0.016,0.0008,0.2648,0.032,0.0,0.016,0.2131,0.0,0.1225,0.0015,0.003,0.032
Collard Greens,0.0016,0.0066,0.0,0.0034,0.0,0.0,0.028,0.0,0.0138,0.0033,0.0016,0.0,0.0,0.0,0.0214,0.2224,0.0758,0.0,0.0,0.2405,0.0,0.2488,0.3427,0.0,0.0214,0.0,0.0329,0.1911,0.1796,0.0165,0.031,0.1516,0.0362,0.2801,0.1384,0.0,0.0,0.0,0.0066,0.0165,0.2323,0.2455,0.0,0.0,0.0329,0.2438,0.1021,0.2175,0.1285,0.0115,0.1334
Grapes,0.0007,0.0029,0.0007,0.0,0.0,0.0007,0.0,0.0015,0.0044,0.0015,0.0,0.0,0.0,0.0,0.0,0.0029,0.0073,0.0,0.2223,0.036,0.0183,0.0198,0.1218,0.0022,0.438,0.0374,0.0,0.0367,0.1709,0.0198,0.0007,0.0022,0.2142,0.0,0.4952,0.0044,0.0,0.2561,0.358,0.0022,0.0007,0.1027,0.1012,0.2693,0.2905,0.1966,0.0,0.4813,0.0044,0.2612,0.1145
"Peaches, Frozen",0.0,0.0,0.0,0.0377,0.0,0.0,0.0,0.0,0.0027,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0081,0.0,0.0027,0.0,0.0,0.0054,0.0431,0.0,0.0027,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0323,0.0,0.0,0.0135,0.2156,0.0,0.0,0.0081,0.0,0.0,0.0,0.0,0.0,0.0054,0.0,0.0,0.0216
Baby Food - Applesauce,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0281,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0368,0.0035,0.0088,0.0404,0.0053,0.0,0.0211,0.0,0.0246,0.0,0.0,0.0,0.0018,0.0,0.0,0.0,0.0158,0.0,0.0,0.1351,0.1175,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.1246
Baby Food - Carrots,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.2909,0.0,0.0,0.0091,0.0,0.0,0.0,0.0,0.0,0.0,0.0291,0.0,0.0,0.04,0.0,0.0,0.0
Baby Food - Peas,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.1722,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0104,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Baby Food - Green Beans,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.4017,0.0014,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0085,0.0,0.0,0.0057,0.0,0.0,0.0556,0.0,0.0,0.0
Baby Food - Peaches,0.0,0.0,0.0029,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0015,0.1429,0.0044,0.028,0.0162,0.0206,0.0412,0.3564,0.0,0.2577,0.0,0.0133,0.0059,0.0,0.0,0.0,0.0,0.028,0.0,0.0,0.0015,0.0471,0.0,0.0,0.0059,0.0,0.0,0.0295,0.0,0.0,0.0,0.0,0.0295,0.2563
Baby Food - Pears,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0721,0.0,0.0228,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0095,0.0038,0.0361,0.0,0.0133,0.0,0.1044,0.129,0.6698,0.0,0.0,0.0,0.0,0.0,0.0797,0.0,0.0,0.1518,0.0835,0.0095,0.0,0.0,0.0,0.0,0.074,0.0038,0.0,0.0209,0.0,0.038,0.2713
Baby Food - Sweet Potatoe,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.1123,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Kiwi Fruit,0.0024,0.0,0.0,0.0,0.0,0.0,0.0,0.006,0.0,0.0,0.0,0.0,0.0,0.0012,0.0,0.0,0.0,0.0,0.0073,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0012,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0024,0.0871,0.0024,0.0,0.0,0.0085,0.0,0.0,0.0,0.0,0.0073,0.0,0.0,0.0012
"Lettuce, Head",0.003,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0274,0.0015,0.0,0.0,0.0,0.0,0.0,0.0,0.0122,0.0,0.0015,0.0,0.0,0.0,0.0502,0.0,0.0,0.0,0.003,0.0015,0.032,0.0,0.0746,0.0213,0.0076,0.0076,0.0654,0.0,0.0,0.0,0.0015,0.0,0.0046,0.0122,0.0015,0.0061,0.0,0.0152,0.0381,0.0061,0.0487,0.0076,0.0061
"Lettuce, Leaf",0.0046,0.0,0.0212,0.0,0.0,0.003,0.0076,0.0,0.0425,0.0,0.0015,0.0,0.0076,0.0,0.0243,0.0106,0.0243,0.0,0.0182,0.0455,0.0,0.0046,0.0971,0.0,0.0,0.0,0.1093,0.0106,0.0668,0.0015,0.1988,0.3763,0.1214,0.0759,0.1533,0.0015,0.0,0.0076,0.0228,0.0,0.0061,0.0379,0.0061,0.0167,0.0061,0.0516,0.1381,0.044,0.2382,0.0091,0.0076
Mustard Greens,0.0,0.0019,0.0,0.0019,0.0,0.0038,0.0038,0.0,0.0225,0.0133,0.0019,0.0,0.0338,0.0,0.0019,0.212,0.0206,0.0,0.0,0.2101,0.0,0.2064,0.3021,0.0,0.0675,0.0,0.0131,0.2158,0.1107,0.0131,0.1051,0.0638,0.0263,0.272,0.227,0.0,0.0,0.0,0.0131,0.0056,0.2289,0.1707,0.0075,0.0,0.0507,0.3959,0.0619,0.2552,0.0882,0.0507,0.0614
Mushrooms,0.0,0.0,0.0455,0.0,0.0,0.0,0.0,0.4556,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0007,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0007,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Oats,0.0,0.0201,0.0256,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0018,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Oranges,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.7388,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0015,0.0,0.0029,0.0,0.0,0.0,0.0,0.0015,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.1843,0.3033,0.0,0.0,0.2525,0.0,0.0,0.0,0.0015,0.0,0.0,0.0,0.0,0.0319
Orange Juice,0.0,0.0,0.0,0.0062,0.0,0.0,0.0,0.3037,0.0,0.0,0.0031,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0047,0.0,0.0093,0.0016,0.0,0.0,0.0,0.0016,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0093,0.0047,0.0,0.0016,0.0109,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Onions,0.0,0.0,0.0,0.0,0.0,0.0047,0.0,0.0,0.0106,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0177,0.0,0.0,0.0,0.0,0.0,0.0968,0.0,0.0024,0.0,0.0,0.0047,0.0012,0.0024,0.0059,0.0,0.0,0.0047,0.0756,0.0,0.0,0.0012,0.0,0.0,0.0425,0.0024,0.0,0.0,0.0012,0.0,0.0,0.013,0.0035,0.0,0.0
Peanut Butter,0.0,0.0,0.3152,0.0,0.0,0.0016,0.0,0.0016,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0016,0.0,0.0,0.0,0.0,0.0016,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Peaches,0.0,0.0,0.0011,0.0022,0.0,0.0,0.0,0.01,0.0,0.0022,0.0,0.0,0.0044,0.0,0.0,0.0133,0.0,0.0,0.0564,0.1294,0.1272,0.0133,0.0553,0.1327,0.1781,0.0,0.2058,0.0642,0.2511,0.0136,0.0011,0.0,0.0,0.0,0.167,0.0243,0.0,0.156,0.8894,0.0299,0.0,0.1261,0.0066,0.0055,0.1062,0.1792,0.0,0.0918,0.0,0.146,0.1947
Pears,0.0037,0.0007,0.0,0.0007,0.0,0.0,0.0,0.4575,0.0007,0.0,0.0,0.0,0.0007,0.0,0.0,0.0,0.0,0.0,0.0015,0.0007,0.0007,0.0037,0.0873,0.0,0.003,0.0,0.0052,0.0209,0.1791,0.0,0.0,0.0,0.1007,0.0,0.0515,0.0082,0.0,0.6545,0.5425,0.0082,0.0,0.0,0.1873,0.0,0.0224,0.1627,0.0,0.0269,0.0,0.0067,0.2381
"Pumpkin, Canned",0.0,0.0,0.0,0.0,0.0101,0.0,0.0,0.0,0.0,0.0,0.0,0.0017,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.1419,0.0,0.0,0.027,0.0,0.0,0.0034,0.0,0.0,0.0,0.0,0.0,0.0,0.0118,0.0,0.0084,0.0,0.0,0.0,0.0034,0.0,0.0,0.0,0.0084,0.0,0.0,0.0,0.0,0.0,0.0084
"Pineapple, Fresh",0.0016,0.0,0.0536,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0016,0.0,0.0016,0.0,0.0,0.0016,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0079,0.0,0.0,0.0032,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Potatoes,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.06,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0087,0.0,0.0,0.0,0.0,0.0116,0.0528,0.0,0.0,0.0,0.0,0.0022,0.0,0.0,0.0,0.0,0.0,0.0,0.18,0.0,0.0,0.0,0.0976,0.0,0.154,0.1316,0.0,0.0,0.1294,0.0,0.0,0.008,0.0,0.0,0.0
Sweet Bell Peppers,0.0038,0.0053,0.0114,0.0145,0.0,0.0,0.0,0.0,0.0519,0.0326,0.0099,0.0,0.0008,0.0015,0.0,0.1108,0.1692,0.0159,0.0744,0.0425,0.0326,0.0903,0.2238,0.0,0.0303,0.0015,0.0524,0.1879,0.0428,0.0879,0.1215,0.0191,0.0023,0.0367,0.1688,0.0008,0.107,0.0008,0.0243,0.0425,0.2055,0.2559,0.0138,0.0122,0.1543,0.2361,0.0008,0.0848,0.0092,0.0229,0.0909
"Sweet Peas, Frozen",0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.1161,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0536,0.0,0.0,0.0179,0.1875,0.0,0.0,0.0,0.0,0.0
Plums,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0455,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0018,0.0,0.0,0.0,0.0,0.0009,0.0,0.0088,0.0018,0.0665,0.0,0.0035,0.0,0.2662,0.0,0.0026,0.0,0.106,0.0,0.0814,0.0583,0.0,0.0289,0.8844,0.0123,0.0,0.0969,0.0744,0.0,0.0018,0.0105,0.0,0.0289,0.0,0.0665,0.0718
Radishes,0.0,0.0,0.0,0.0008,0.0,0.0,0.0098,0.0,0.0038,0.0857,0.0,0.0,0.0,0.0,0.0,0.0105,0.0436,0.0,0.0,0.0038,0.0,0.0068,0.0263,0.0,0.0008,0.0,0.003,0.0008,0.0105,0.0,0.0609,0.0,0.0,0.0301,0.0023,0.0,0.0,0.0008,0.003,0.0,0.009,0.1098,0.0,0.0,0.0008,0.0767,0.0,0.003,0.0015,0.0015,0.0
Rice,0.0,0.0193,0.21,0.0,0.0,0.0,0.0,0.0019,0.0,0.0347,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0655,0.0,0.0,0.0,0.0039,0.0424,0.0,0.0771,0.0,0.0,0.0462,0.0,0.0867,0.0,0.0,0.0,0.0,0.0019,0.0,0.0,0.0,0.0,0.0019,0.0443,0.1137,0.0424,0.0,0.0116,0.0,0.0,0.0,0.0,0.0019,0.0116
"Spinach, Canned",0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.04,0.0,0.0,0.9144,0.008,0.0,0.0,0.4747,0.0,0.1333,0.056,0.0,0.0,0.0,0.0,0.032,0.032,0.0,0.0293,0.0427,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.016,0.2827,0.0,0.0,0.0373,0.0827,0.0,0.0,0.0,0.0,0.0
"Sweet Peas, Canned",0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0354,0.0059,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.1268,0.0,0.0,0.0,0.0029,0.0,0.0,0.0,0.0,0.0
"Spinach, Frozen",0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0117,0.0,0.0,0.2783,0.0,0.0,0.0,0.2174,0.0,0.0234,0.1345,0.0,0.0,0.0,0.0486,0.2632,0.2982,0.0,0.0409,0.462,0.0058,0.2105,0.0058,0.0,0.0,0.0,0.0,0.0,0.0058,0.2047,0.0,0.0292,0.0292,0.2105,0.1696,0.1287,0.1111,0.0,0.0234
Summer Squash,0.0,0.0,0.0008,0.0008,0.0236,0.0,0.0038,0.0,0.0099,0.0023,0.0,0.0,0.0046,0.0,0.0023,0.0038,0.0746,0.0,0.0312,0.003,0.0084,0.0647,0.3717,0.0,0.0137,0.0038,0.0168,0.0442,0.0076,0.0647,0.0373,0.0114,0.0,0.0343,0.0967,0.0,0.0,0.0008,0.0008,0.0015,0.2331,0.0564,0.0084,0.0137,0.0137,0.115,0.0,0.0129,0.0015,0.0038,0.0739
"Strawberries, Frozen",0.0,0.2994,0.01,0.022,0.0,0.0,0.0,0.1118,0.0,0.1058,0.012,0.002,0.0,0.024,0.0,0.008,0.3792,0.002,0.2655,0.0,0.1617,0.4671,0.1856,0.0,0.006,0.014,0.0,0.0,0.0978,0.0,0.3633,0.0,0.022,0.008,0.2056,0.1617,0.012,0.1517,0.0479,0.004,0.2974,0.3713,0.02,0.012,0.1058,0.2754,0.0,0.3653,0.0,0.1836,0.4631
