section,section_heading,commodity,ppm,expiration_note,row_type
180.1,§ 180.1 Definitions and interpretations.,"Flowers, edible, multiple species","Acacia blossoms (Acacia senegal (L.) Willd.); Alyssum, sweet (Lobularia maritima (L.) Desv.); Anchusa, garden (Anchusa azurea Mill.); Angelica (Angelica archangelica L.); Apricot, Japanese (Prunus mume Siebold & Zucc.); Arnica (Arnica montana L.); Arugula (Eruca sativa Mill.); Balm (Melissa officinalis L.); Banana (Musa spp.); Basil (Ocimum spp.); Begonia, tuberous (Begonia x tuberhybrida Voss); Bilimbi (Averrhoa bilimbi L.); Bisnaga (Ammi visnaga (L.) Lam.); Blue thistle (Centaurea benedicta (L.) L.); Borage (Borago officinalis L.); Broccoli (Brassica oleracea L. var. italica Plenck); Bugelweed (Lycopus spp.); Burnet (Sanguisorba spp.); Calendula (Calendula officinalis L.); Canadian goldenrod (Solidago canadensis L.); Caper (Capparis spinosa L.); Carambola (Averrhoa carambola L.); Carnation (Dianthus caryophyllus L.); Celandine, greater (Chelidonium majus L.); Chamomile (Chamaemelum spp. and Matricaria spp.); Chaparral (Larrea tridentata (DC.) Coville); Chervil (Anthriscus cerefolium (L.) Hoffm.); Chicory (Cichorium intybus L.); Chive, Chinese (Allium tuberosum Rottler ex Spreng.); Chrysanthemum (Chrysanthemum spp.); Clary (Salvia sclarea L.); Cleavers (Galium aparine L); Clove (Syzygium aromaticum (L.) Merr. & L. M. Perry); Clover, red (Trifolium pratense L.); Coriander/Cilantro (Coriandrum sativum L.); Cornflower (Centaurea cyanus L.); Costmary (Tanacetum balsamita L. subsp. balsamita); Daisy, English (Bellis perennis L.); Dames rocket (Hesperis matronalis L.); Damiana (Turnera diffusa Willd); Dandelion (Taraxacum officinale F. H. Wigg. aggr.); Daylily (Hemerocallis fulva (L.) L.); Dill (Anethum graveolens L.); Elder (Sambucus nigra L.); Eyebright (Euphrasia spp.); Feijoa (Acca sellowiana (O. Berg) Burret); Fennel (common) (Foeniculum vulgare Mill. subsp. vulgare var. vulgare); Frangipani (Plumeria rubra L.); Fuchsia (Fuchsia spp.); Gardenia (Gardenia jasminoides J. Ellis); Geranium (Pelargonium spp.); Geranium, lemon (Pelargonium crispum (P.J. Bergius) L'Her.); Geranium, rose (Pelargonium graveolens L'Hér.); Ginger, white (Hedychium coronarium J. Koenig); Gladiolus (Gladiolus spp.); Greater periwinkle (Vinca major L.); Hawthorn (Crataegus monogyna Jacq. Crataegus spp.); Hibiscus (Hibiscus spp.); Hibiscus, Chinese (Hibiscus rosa-sinensis L.); Hollyhock (Alcea rosea L.); Honeysuckle, Japanese (Lonicera japonica Thunb.); Horehound (Marrubium vulgare L.); Hyssop (Hyssopus officinalis L.); Hyssop, anise (Agastache foeniculum (Pursh) Kuntze); Impatiens (Impatiens walleriana Hook. f.); Jasmine, Arabian (Jasminum sambac (L.) Aiton); Kewra (Pandanus fascicularis Lam.); Lavender (Lavandula angustifolia Mill.); Lemon (Citrus limon (L.) Burm. f.); Lilac (Syringa vulgaris L.); Lily (Lilium spp.); Lily, mariposa (Calochortus gunnisonii S. Watson); Lily, sego (Calochortus nuttallii Torr. & A. Gray); Lotus (Nelumbo nucifera Gaertn.); Lovage (Levisticum officinale W. D. J. Koch); Mallow, high (Malva sylvestris L.); Marigold (Tagetes spp.); Marjoram (Origanum spp.); Meadowsweet (Filipendula ulmaria (L.) Maxim.); Mint (Mentha spp.); Mioga (Zingiber mioga (Thunb.) Roscoe); Monarda (Monarda spp.); Motherwort (Leonurus cardiaca L.); Mullein (Verbascum thapsus L., Verbascum spp.); Mustard (Brassica spp. and Sinapis spp.); Nasturtium (Tropaeolum spp.); Okra (Abelmoschus esculentus (L.) Moench); Orange, bitter (Citrus aurantium L.); Passion flower (Passiflora spp.); Pea blossoms (Pisum sativum L. subsp. sativum var. sativum); Peach (Prunus persica (L.) Batsch var. persica); Peony, common (Paeonia officinalis L.); Perilla (Perilla frutescens (L.) Britton); Petunia (Petunia x hybrida hort. ex E. Vilm.); Primrose (Primula vulgaris Huds.); Puget sound gumweed (Grindelia integrifolia DC.); Purslane, winter (Claytonia perfoliata Donn ex Willd.); Radish (Raphanus sativus L.); Redbud (Cercis canadensis L.); Rose (Rosa spp.); Rosemary (Rosmarinus officinalis L.); Rose-of-Sharon ((Hibiscus syriacus L.); Runner bean, scarlet (Phaseolus coccineus L.); Safflower (Carthamus tinctorius L.); Sage (Salvia officinalis L.); Sage, pineapple (Salvia elegans); Savory, summer (Satureja hortensis L.); Saxifrage, burnet (Pimpinella saxifraga L.); Scotch broom (Cytisus scoparius (L.) Link ); Shepherd's purse (Capsella bursa-pastoris (L.) Medik.); Snapdragon (Antirrhinum majus L.); Sorrel, garden (Rumex acetosa L.); Sorrel, wood (Oxalis acetosella L.); Spilanthes (Blainvillea acmella (L.) Philipson); Squash (Cucurbita spp.); Stock, gillyflower (Matthiola incana (L.) W. T. Aiton); Stoneroot (Collinsonia canadensis L.); Sunflower (Helianthus annuus L.); Sweet william (Dianthus barbatus L.); Sweet wormwood (Artemisia annua L.); Thyme (Thymus vulgaris L.); Tuberose (Polianthes tuberosa L.); Tulip (Tulipa spp.); Verbena, blue (Verbena hastate L.); Verbena, lemon (Aloysia citrodora Palau); Violet (Viola spp.); Wormwood (Artemisia absinthium L); Yarrow (Achillea millefolium L.); Yucca (Yucca spp.); and other edible flowers.",,definition
180.1,§ 180.1 Definitions and interpretations.,"Fruit, citrus","Grapefruit, lemon, lime, orange, tangelo, tangerine, citrus citron, kumquat, and hybrids of these.",,definition
180.1,§ 180.1 Definitions and interpretations.,Garlic,"Garlic, great headed; garlic, and serpent garlic.",,definition
180.1,§ 180.1 Definitions and interpretations.,Guava,"Guava (Psidium guajava L.); Guava, cattley (Psidium cattleyanum Sabine); Guava, Para (Psidium acutangulum DC.); Guava, purple strawberry (Psidium cattleyanum Sabine var. cattleyanum); Guava, strawberry (Psidium cattleyanum Sabine var. littorale (Raddi) Fosberg); Guava, yellow strawberry (Psidium cattleyanum Sabine var. cattleyanum forma lucidum O. Deg.)",,definition
180.1,§ 180.1 Definitions and interpretations.,Lettuce,"Lettuce, head; and lettuce, leaf.",,definition
180.1,§ 180.1 Definitions and interpretations.,"Lettuce, head","Lettuce, head; crisphead varieties only.",,definition
180.1,§ 180.1 Definitions and interpretations.,"Lettuce, leaf","Lettuce, leaf; cos (romaine), butterhead varieties.",,definition
180.1,§ 180.1 Definitions and interpretations.,"Marjoram (Origanum spp.); Marjoram, pot (Origanum onites L.); Marjoram, sweet (Origanum majorana L.); Oregano (Origanum vulgare L.)","Origanum spp. (includes sweet or annual marjoram, wild marjoram or oregano, and pot marjoram).",,definition
180.1,§ 180.1 Definitions and interpretations.,Melon,"Muskmelon, including hybrids and/or varieties of Cucumis melo (including true cantaloupe, cantaloupe, casaba, Santa Claus melon, crenshaw melon, honeydew melon, honey balls, Persian melon, golden pershaw melon, mango melon, pineapple melon, snake melon); and watermelon, including hybrids and/or varieties of (Citrullus spp.).",,definition
180.1,§ 180.1 Definitions and interpretations.,Mint (Mentha spp.),"Mint (Mentha spp.); Applemint (Mentha suaveolens Ehrh.); Horsemint (Mentha longifolia (L.) Huds.); Mint, corn (Mentha arvensis L.); Peppermint (Mentha. x piperita L.); Spearmint, (Mentha spicata L.); Spearmint, Scotch (Mentha x gracilis Sole); Watermint (Mentha aquatica L.); Pennyroyal (Mentha pulegium L.)",,definition
180.1,§ 180.1 Definitions and interpretations.,Muskmelon,"Cucumis melo (includes true cantaloupe, cantaloupe, casaba, Santa Claus melon, crenshaw melon, honeydew melon, honey balls, Persian melon, golden pershaw melon, mango melon, pineapple melon, snake melon, and other varieties and/or hybrids of these.)",,definition
180.1,§ 180.1 Definitions and interpretations.,Onion,Bulb onion; green onion; and garlic.,,definition
180.1,§ 180.1 Definitions and interpretations.,"Onion, bulb","Bulb onion; garlic; great headed garlic; serpent garlic; Chinese onion; pearl onion; potato onion; and shallot, bulb.",,definition
180.1,§ 180.1 Definitions and interpretations.,"Onion, green","Green onion; lady's leek; leek; wild leek; Beltsville bunching onion; fresh onion; tree onion, tops; Welsh onion; and shallot, fresh leaves.",,definition
180.1,§ 180.1 Definitions and interpretations.,Palm hearts,"Palm hearts, various species, including: African fan palm, Borassus aethiopum Mart.; Cabbage palm, Euterpe oleracea Mart.; Cabbage palmetto, Sabal palmetto (Walter) Schult. & Schult. f.; Coconut, Cocos nucifera L.; Palmyra palm, Borassus flabellifera L.; Peach Palm, Bactris gasipaes Kunth; Royal palm, Roystonea oleracea (Jacq.) O.F. Cook; Salak palm, Salacca zalacca (Gaertn.) Voss; Saw palmetto, Serenoa repens (W. Bartram) Small; Wine palm, Raphia spp.",,definition
180.1,§ 180.1 Definitions and interpretations.,Peach,"Peach, nectarine.",,definition
180.1,§ 180.1 Definitions and interpretations.,Pea,"Cajanus cajan (pigeon pea); Cicer arietinum (chickpea, garbanzo bean); Lens culinaris (lentil); Grass pea; Pisum spp. (including, but not limited to dry pea, dwarf pea, English pea, field pea, garden pea, green pea, marrowfat pea, snap pea, snow pea, sugar snap pea, wrinkled pea and yellow pea); cultivars, varieties and/or hybrids of these commodities. [Note: A variety of pesticide tolerances have been previously established for pea and/or bean. Chickpea/garbanzo bean is also listed in the definition for “bean”. For garbanzo bean/chickpea only, the highest established pea or bean tolerance will apply to pesticide residues found in this commodity]. Lens culinaris (lentil); Pisum spp. (includes dwarf pea, garden pea, green pea, English pea, field pea, and edible pod pea). [Note: A variety of pesticide tolerances have been previously established for pea and/or bean. Chickpea/garbanzo bean is now classified in both the bean and the pea categories. For garbanzo bean/chickpea only, the highest established pea or bean tolerance will apply to pesticide residues found in this commodity.]",,definition
180.1,§ 180.1 Definitions and interpretations.,"Pea, dry, seed",All peas in the entry “Pea” in dry seed form.,,definition
180.1,§ 180.1 Definitions and interpretations.,"Pea, edible podded",All peas in the entry “Pea” in edible podded form.,,definition
180.1,§ 180.1 Definitions and interpretations.,"Pea, succulent",All peas in the entry “Pea” in edible podded or succulent shelled form.,,definition
180.1,§ 180.1 Definitions and interpretations.,"Pea, succulent shelled",All peas in the entry “Pea” in succulent shelled form.,,definition
180.1,§ 180.1 Definitions and interpretations.,Pepper,"All varieties of pepper including pimento and bell, hot, and sweet pepper.",,definition
180.1,§ 180.1 Definitions and interpretations.,"Radish, oriental, roots","Raphanus sativus var. longipinnatus (roots and tops), including Chinese or Japanese radish (both white and red), winter radish, daikon, lobok, lo pak, and other cultivars and/or hybrids of these.",,definition
180.1,§ 180.1 Definitions and interpretations.,"Radish, oriental, tops)","Raphanus sativus var. longipinnatus (roots and tops), including Chinese or Japanese radish (both white and red), winter radish, daikon, lobok, lo pak, and other cultivars and/or hybrids of these.",,definition
180.1,§ 180.1 Definitions and interpretations.,Rapeseed,"Brassica napus, B. campestris, and Crambe abyssinica (oilseed-producing varieties only which include canola and crambe.)",,definition
180.1,§ 180.1 Definitions and interpretations.,Raspberry,"Rubus spp. (including bababerry; black raspberry; blackcap; caneberry; framboise; frambueso; himbeere; keriberry; mayberry; red raspberry; thimbleberry; tulameen; yellow raspberry; and cultivars, varieties, and/or hybrids of these).",,definition
180.1,§ 180.1 Definitions and interpretations.,"Sorghum, grain, grain","Sorghum spp. [sorghum, grain, sudangrass (seed crop), and hybrids of these grown for its seed].",,definition
180.1,§ 180.1 Definitions and interpretations.,"Sorghum, forage, stover","Sorghum spp. [sorghum, forage; sorghum, stover; sudangrass, and hybrids of these grown for forage and/or stover.",,definition
180.1,§ 180.1 Definitions and interpretations.,Squash,"Pumpkin, summer squash, and winter squash.",,definition
180.1,§ 180.1 Definitions and interpretations.,Sugar apple,Annona squamosa L. and its hybrid atemoya (Annona cherimola Mill X A. squamosa L.) Also includes true custard apple (Annona reticulata L.).,,definition
180.1,§ 180.1 Definitions and interpretations.,"Squash, summer","Fruits of the gourd (Cucurbitaceae) family that are consumed when immature, 100% of the fruit is edible either cooked or raw, once picked it cannot be stored, has a soft rind which is easily penetrated, and if seeds were harvested they would not germinate; e.g., Cucurbita pepo (i.e., crookneck squash, straightneck squash, scallop squash, and vegetable marrow); Lagenaria spp. (i.e., spaghetti squash, hyotan, cucuzza); Luffa spp. (i.e., hechima, Chinese okra); Momordica spp. (i.e., bitter melon, balsam pear, balsam apple, Chinese cucumber); Sechium edule (chayote); and other cultivars and/or hybrids of these.",,definition
180.1,§ 180.1 Definitions and interpretations.,Sweet potato,"Sweet potato, yam.",,definition
180.1,§ 180.1 Definitions and interpretations.,Tangerine,"Tangerine (mandarin or mandarin orange); clementine; Mediterranean mandarin; satsuma mandarin; tangelo; tangor; cultivars, varieties, and/or hybrids of these.",,definition
180.1,§ 180.1 Definitions and interpretations.,Tomato,"Tomato, tomatillo.",,definition
180.1,§ 180.1 Definitions and interpretations.,Turnip tops or turnip greens,"Broccoli raab (raab, raab salad), hanover salad, turnip tops (turnip greens).",,definition
180.1,§ 180.1 Definitions and interpretations.,Wheat,"Wheat, triticale.",,definition
180.41,§ 180.41 Crop group tables.,Arracacha (Arracacia xanthorrhiza),"1C, 1D",,definition
180.41,§ 180.41 Crop group tables.,Arrowroot (Maranta arundinacea),"1C, 1D",,definition
180.41,§ 180.41 Crop group tables.,"Artichoke, Chinese (Stachys affinis)","1C, 1D",,definition
180.41,§ 180.41 Crop group tables.,"Artichoke, Jerusalem (Helianthus tuberosus)","1C, 1D",,definition
180.41,§ 180.41 Crop group tables.,"Beet, garden (Beta vulgaris)","1A, 1B",,definition
180.41,§ 180.41 Crop group tables.,"Beet, sugar (Beta vulgaris)",1A,,definition
180.41,§ 180.41 Crop group tables.,"Burdock, edible (Arctium lappa)","1A, 1B",,definition
180.41,§ 180.41 Crop group tables.,"Canna, edible (Queensland arrowroot) (Canna indica)","1C, 1D",,definition
180.41,§ 180.41 Crop group tables.,Carrot (Daucus carota),"1A, 1B",,definition
180.41,§ 180.41 Crop group tables.,"Cassava, bitter and sweet (Manihot esculenta)","1C, 1D",,definition
180.41,§ 180.41 Crop group tables.,Celeriac (celery root) (Apium graveolens var. rapaceum),"1A, 1B",,definition
180.41,§ 180.41 Crop group tables.,Chayote (root) (Sechium edule),"1C, 1D",,definition
180.41,§ 180.41 Crop group tables.,"Chervil, turnip-rooted (Chaerophyllum bulbosum).","1A, 1B",,definition
180.41,§ 180.41 Crop group tables.,Chicory (Cichorium intybus),"1A, 1B",,definition
180.41,§ 180.41 Crop group tables.,Chufa (Cyperus esculentus),"1C, 1D",,definition
180.41,§ 180.41 Crop group tables.,Dasheen (taro) (Colocasia esculenta),"1C, 1D",,definition
180.41,§ 180.41 Crop group tables.,Ginger (Zingiber officinale),"1C, 1D",,definition
180.41,§ 180.41 Crop group tables.,Ginseng (Panax quinquefolius),"1A, 1B",,definition
180.41,§ 180.41 Crop group tables.,Horseradish (Armoracia rusticana),"1A, 1B",,definition
180.41,§ 180.41 Crop group tables.,Leren (Calathea allouia),"1C, 1D",,definition
180.41,§ 180.41 Crop group tables.,"Parsley, turnip-rooted (Petroselinum crispum var. tuberosum)","1A, 1B",,definition
180.41,§ 180.41 Crop group tables.,Parsnip (Pastinaca sativa),"1A, 1B",,definition
180.41,§ 180.41 Crop group tables.,Potato (Solanum tuberosum),1C,,definition
180.41,§ 180.41 Crop group tables.,Radish (Raphanus sativus),"1A, 1B",,definition
180.41,§ 180.41 Crop group tables.,"Radish, oriental (daikon) (Raphanus sativus subvar. longipinnatus)","1A, 1B",,definition
180.41,§ 180.41 Crop group tables.,Rutabaga (Brassica campestris var. napobrassica),"1A, 1B",,definition
180.41,§ 180.41 Crop group tables.,Salsify (oyster plant) (Tragopogon porrifolius),"1A, 1B",,definition
180.41,§ 180.41 Crop group tables.,"Salsify, black (Scorzonera hispanica)","1A, 1B",,definition
180.41,§ 180.41 Crop group tables.,"Salsify, Spanish (Scolymus hispanicus)","1A, 1B",,definition
180.41,§ 180.41 Crop group tables.,Skirret (Sium sisarum),"1A, 1B",,definition
180.41,§ 180.41 Crop group tables.,Sweet potato (Ipomoea batatas),"1C, 1D",,definition
180.41,§ 180.41 Crop group tables.,Tanier (cocoyam) (Xanthosoma sagittifolium),"1C, 1D",,definition
180.41,§ 180.41 Crop group tables.,Turmeric (Curcuma longa),"1C, 1D",,definition
180.41,§ 180.41 Crop group tables.,Turnip (Brassica rapa var. rapa),"1A, 1B",,definition
180.41,§ 180.41 Crop group tables.,"Yam bean (jicama, manoic pea) (Pachyrhizus spp.)","1C, 1D",,definition
180.41,§ 180.41 Crop group tables.,"Yam, true (Dioscorea spp.)","1C, 1D",,definition
180.41,§ 180.41 Crop group tables.,"Carrot, radish, and sugar beet.","Beet, garden; beet, sugar; burdock, edible; carrot; celeriac; chervil, turnip-rooted; chicory; ginseng; horseradish; parsley, turnip-rooted; parsnip; radish; radish, oriental; rutabaga; salsify; salsify, black; salsify, Spanish; skirret; turnip.",,definition
180.41,§ 180.41 Crop group tables.,Carrot and radish.,"Beet, garden; burdock, edible; carrot; celeriac; chervil, turnip-rooted; chicory; ginseng; horseradish; parsley, turnip-rooted; parsnip; radish; radish, oriental; rutabaga; salsify; salsify, black; salsify, Spanish; skirret; turnip.",,definition
180.41,§ 180.41 Crop group tables.,Potato.,"Arracacha; arrowroot; artichoke, Chinese; artichoke, Jerusalem; canna, edible; cassava, bitter and sweet; chayote (root); chufa; dasheen; ginger; leren; potato; sweet potato; tanier; turmeric; yam bean; yam, true.",,definition
180.41,§ 180.41 Crop group tables.,Sweet potato.,"Arracacha; arrowroot; artichoke, Chinese; artichoke, Jerusalem; canna, edible; cassava, bitter and sweet; chayote (root); chufa; dasheen; ginger; leren; sweet potato; tanier; turmeric; yam bean; yam, true.",,definition
180.41,§ 180.41 Crop group tables.,"Chive, fresh leaves (Allium schoenoprasum L.)",3-07B,,definition
180.41,§ 180.41 Crop group tables.,"Chive, Chinese, fresh leaves (Allium tuberosum Rottler ex Spreng)",3-07B,,definition
180.41,§ 180.41 Crop group tables.,"Daylily, bulb (Hemerocallis fulva (L.) L. var. fulva)",3-07A,,definition
180.41,§ 180.41 Crop group tables.,Elegans hosta (Hosta Sieboldiana (Hook.) Engl),3-07B,,definition
